Incorrect,Correct
caesaipinia pulcherrina,caesalpinia pulcherrima
s. longispicata x s. farinacea,salvia farinacea × longispicata
phylla nodiflora,phyla nodiflora
aclepias curvass,asclepias curassavica
conoclinium colestinium,conoclinium coelestinum
leucophyllium frutescens,leucophyllum frutescens
lantana,lantana sp.
hybrid saliva farinacea & longispicata,salvia farinacea × longispicata
sedium,sedum sp.
new gold lantana,lantana x 'new gold'
lantana dallas red,lantana camara 'dallas red'
