"start","end","did","student_status","firstobs","loclat","loclong","time","temp","latname","cultivar","bloom","red","orange","yellow","green","blue","purp","whitepink","largebee","mediumbee","smallblbee","smallgbee","nonbeewasp","hoverflies","butterflies","feedback","state","county","Family","New.Genus","New.Species","Authority","Taxonomic.status"
"2019-05-15T14:40:33.672-05:00","2019-05-15T14:46:05.900-05:00","enketo.ona.io:5bDHKjGqY44PPgKv",NA,"yes",32.294671,-94.975679,"2019-05-15T14:45:00.000-05:00","86","salvia longispicata x farinacea","mystic spires blue",3,0,0,0,0,1,1,0,1,2,NA,NA,NA,NA,NA,NA,"texas","rusk","Lamiaceae","Salvia","longispicata","","Accepted"
"2019-05-15T14:42:50.595-05:00","2019-05-15T14:44:45.312-05:00","enketo.ona.io:p9EnlW5yRdKUEdgS",NA,"no",32.294671,-94.975679,"2019-05-15T14:45:00.000-05:00","86","saliva horrida","'yucky'",1,0,0,0,0,1,0,0,1,2,3,4,5,6,NA,NA,"texas","rusk","","saliva","horrida","",""
"2019-05-15T14:46:06.046-05:00","2019-05-15T14:50:27.317-05:00","enketo.ona.io:5bDHKjGqY44PPgKv",NA,"no",32.294671,-94.975679,"2019-05-15T14:45:00.000-05:00","86","verbena peruviana","endurascape pink hot",2,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,"texas","rusk","Verbenaceae","Glandularia","peruviana","","Synonym"
"2019-05-15T15:13:24.369-05:00","2019-05-15T15:24:35.995-05:00","enketo.ona.io:V5wmHZlEGG5N1nCE",NA,"yes",32.294671,-94.975679,"2019-05-15T15:30:00.000-05:00","77","epipremnum aureum","not known",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"texas","rusk","Araceae","Epipremnum","aureum","","Accepted"
"2019-05-24T11:32:17.568-05:00","2019-05-24T11:35:42.105-05:00","enketo.ona.io:5bDHKjGqY44PPgKv",NA,"yes",32.295428,-94.975664,"2019-05-24T11:45:00.000-05:00","82","salvia longispicata x farinacea","mystic spires blue improved",2,0,0,0,0,0,1,0,11,8,0,0,0,0,1,"Lots of pollinators! Can't keep track of them all!","texas","rusk","Lamiaceae","Salvia","longispicata","","Accepted"
"2019-05-24T11:40:46.638-05:00","2019-05-24T11:42:12.858-05:00","enketo.ona.io:5bDHKjGqY44PPgKv",NA,"no",32.295428,-94.975664,"2019-05-24T11:45:00.000-05:00","82","canna x generalis","cannova red flame",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,"texas","rusk","Cannaceae","Canna","generalis","","Accepted"
"2019-05-31T19:19:12.254-05:00","2019-05-31T19:25:49.350-05:00","enketo.ona.io:CwTygbAYUJmgoq1o",NA,"yes",36.538729,-96.743419,"2019-05-31T19:15:00.000-05:00","72","clover and tomatoes","clover",2,0,0,1,0,0,0,1,0,35,0,0,6,0,53,"OK","oklahoma","pawnee","","clover","and","",""
"2019-06-02T09:34:32.353-05:00","2019-06-02T09:41:12.936-05:00","enketo.ona.io:qxiYdPJA33FHTHrK",NA,"yes",36.538729,-96.743419,"2019-06-02T09:00:00.000-05:00","74","lavendula agustifolia","munstead",3,0,0,0,0,0,1,0,0,5,2,0,0,0,0,NA,"oklahoma","pawnee","","lavendula","agustifolia","",""
"2019-06-02T09:41:13.180-05:00","2019-06-02T09:46:09.244-05:00","enketo.ona.io:qxiYdPJA33FHTHrK",NA,"no",36.538729,-96.743419,"2019-06-02T09:00:00.000-05:00","74","allium","purple sensation",3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,NA,"oklahoma","pawnee","","allium",NA,"",""
"2019-06-02T15:31:09.683-05:00","2019-06-02T15:34:04.178-05:00","enketo.ona.io:qxiYdPJA33FHTHrK",NA,"yes",36.538729,-96.743419,"2019-06-02T15:45:00.000-05:00","86","monarda didyma","bee balm balmy purple",2,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,5,NA,NA,"oklahoma","pawnee","Lamiaceae","Monarda","didyma","","Accepted"
"2019-06-03T06:32:29.207-05:00","2019-06-03T06:44:13.124-05:00","enketo.ona.io:ZlHI2dkNGyn82KeK",NA,"yes",36.368308,-95.158481,"2019-06-01T10:30:00.000-05:00","89","catmint","catmint",1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,3,"OK","oklahoma","mayes","","catmint",NA,"",""
"2019-06-03T06:44:13.535-05:00","2019-06-03T06:45:26.138-05:00","enketo.ona.io:ZlHI2dkNGyn82KeK",NA,"no",36.368308,-95.158481,"2019-06-01T10:30:00.000-05:00","89","yarrow","yarrow",0,0,0,0,0,0,0,1,NA,NA,NA,2,NA,NA,NA,NA,"oklahoma","mayes","","yarrow",NA,"",""
"2019-06-03T06:45:26.456-05:00","2019-06-03T06:46:57.490-05:00","enketo.ona.io:ZlHI2dkNGyn82KeK",NA,"no",36.368308,-95.158481,"2019-06-01T10:30:00.000-05:00","89","cilantro","cilantro",1,0,0,0,0,0,0,1,NA,NA,NA,4,NA,NA,NA,NA,"oklahoma","mayes","","cilantro",NA,"",""
"2019-06-03T06:46:57.811-05:00","2019-06-03T06:47:49.336-05:00","enketo.ona.io:ZlHI2dkNGyn82KeK",NA,"no",36.368308,-95.158481,"2019-06-01T10:30:00.000-05:00","89","salvia","salvia",1,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,"oklahoma","mayes","","salvia",NA,"",""
"2019-06-03T06:47:49.603-05:00","2019-06-03T06:48:36.965-05:00","enketo.ona.io:ZlHI2dkNGyn82KeK",NA,"no",36.368308,-95.158481,"2019-06-01T10:30:00.000-05:00","89","salvia","salvia",1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,3,NA,"oklahoma","mayes","","salvia",NA,"",""
"2019-06-03T06:48:37.273-05:00","2019-06-03T06:57:11.264-05:00","enketo.ona.io:ZlHI2dkNGyn82KeK",NA,"yes",36.356289,-95.163355,"2019-06-02T10:30:00.000-05:00","90","swamp milkweed","swamp milkweed",2,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,3,NA,"OK","oklahoma","mayes","","swamp","milkweed","",""
"2019-06-03T06:57:11.617-05:00","2019-06-03T06:59:20.613-05:00","enketo.ona.io:ZlHI2dkNGyn82KeK",NA,"no",36.356289,-95.163355,"2019-06-02T10:30:00.000-05:00","90","cilantro","cilantro",2,0,0,0,0,0,0,1,NA,NA,NA,NA,5,1,NA,NA,"oklahoma","mayes","","cilantro",NA,"",""
"2019-06-03T06:59:20.921-05:00","2019-06-03T07:00:33.349-05:00","enketo.ona.io:ZlHI2dkNGyn82KeK",NA,"no",36.356289,-95.163355,"2019-06-02T10:30:00.000-05:00","90","catmint","catmint",2,0,0,0,0,0,1,0,NA,NA,NA,2,NA,NA,3,NA,"oklahoma","mayes","","catmint",NA,"",""
"2019-06-03T07:00:33.696-05:00","2019-06-03T07:01:23.117-05:00","enketo.ona.io:ZlHI2dkNGyn82KeK",NA,"no",36.356289,-95.163355,"2019-06-02T10:30:00.000-05:00","90","clover","clover",2,0,0,0,0,0,0,1,NA,NA,NA,2,NA,NA,3,NA,"oklahoma","mayes","","clover",NA,"",""
"2019-06-03T07:01:23.452-05:00","2019-06-03T07:02:35.504-05:00","enketo.ona.io:ZlHI2dkNGyn82KeK",NA,"no",36.356289,-95.163355,"2019-06-02T10:30:00.000-05:00","90","daisy like wildflower","daisy like wildflower",2,0,0,0,0,0,0,1,NA,NA,NA,NA,2,1,NA,NA,"oklahoma","mayes","","daisy","like","",""
"2019-06-05T11:25:12.818-05:00","2019-06-05T11:38:31.690-05:00","enketo.ona.io:wzlJFdD0cGhlvpuf",NA,"yes",32.986646,-96.766634,"2019-06-05T11:30:00.000-05:00","75","saliva yuckii","ptooui",1,0,0,0,0,1,0,0,0,NA,3,0,0,1,NA,NA,"texas","dallas","","saliva","yuckii","",""
"2019-06-05T11:38:31.769-05:00","2019-06-05T11:44:33.921-05:00","enketo.ona.io:wzlJFdD0cGhlvpuf",NA,"no",32.986646,-96.766634,"2019-06-05T11:30:00.000-05:00","75","saliva yuckii","ptuoii",1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"texas","dallas","","saliva","yuckii","",""
"2019-06-05T11:53:27.924-05:00","2019-06-05T11:55:39.437-05:00","enketo.ona.io:wzlJFdD0cGhlvpuf",NA,"yes",32.986636,-96.766528,"2019-06-05T12:00:00.000-05:00","75","saliva yuckii","rrr",0,0,0,0,0,1,0,0,NA,NA,2,NA,NA,NA,NA,NA,"texas","dallas","","saliva","yuckii","",""
"2019-06-06T07:39:43.073-05:00","2019-06-06T07:58:32.141-05:00","enketo.ona.io:ktAgGaCwvYgyNWa8",NA,"yes",30.82781,-95.502444,"2019-06-06T08:00:00.000-05:00","74","abelia grandiflora",NA,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,"I've seen many different types on these flowers but in this 60 seconds only these small bumblebees.","texas","walker","Caprifoliaceae","Abelia","grandiflora","","Unresolved"
"2019-06-06T09:50:07.295-05:00","2019-06-06T09:53:45.732-05:00","enketo.ona.io:ktAgGaCwvYgyNWa8",NA,"no",30.82781,-95.502444,"2019-06-06T08:00:00.000-05:00","74","allium ampeloprasum","leeks",3,0,0,0,0,0,0,1,0,2,0,0,0,1,0,"I tried to put 2 pics in so will do another form with the small bumblebee","texas","walker","Amaryllidaceae","Allium","ampeloprasum","","Accepted"
"2019-06-06T09:55:12.935-05:00","2019-06-06T09:58:25.913-05:00","enketo.ona.io:ktAgGaCwvYgyNWa8",NA,"no",30.82781,-95.502444,"2019-06-06T08:00:00.000-05:00","74","no sure","carminat filet purple bean",1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,"I'm beginning to think I have more of these small & larger bumblebees than anything.","texas","walker","","no","sure","",""
"2019-06-06T11:28:34.367-05:00","2019-06-06T11:34:25.736-05:00","enketo.ona.io:1pFf6gsvOTQqzIDe",NA,"yes",32.311593,-97.015874,"2019-06-06T10:45:00.000-05:00","80","monarda citriodora	bee balm",NA,3,0,0,0,0,0,1,0,1,0,0,0,0,0,8,"It's tempting to take longer than 60 seconds!  Bee Balm is the most attractive plant to pollinators in our garden this morning","texas","ellis","Lamiaceae","Monarda","citriodora","balm","Accepted"
"2019-06-06T11:34:26.035-05:00","2019-06-06T11:37:16.201-05:00","enketo.ona.io:1pFf6gsvOTQqzIDe",NA,"no",32.311593,-97.015874,"2019-06-06T10:45:00.000-05:00","80","melilotus albus 	white sweet clover",NA,2,0,0,0,0,0,0,1,0,1,0,0,4,0,1,"no feedback","texas","ellis","Leguminosae","Melilotus","albus","sweet clover","Accepted"
"2019-06-06T11:37:16.499-05:00","2019-06-06T11:39:29.609-05:00","enketo.ona.io:1pFf6gsvOTQqzIDe",NA,"no",32.311593,-97.015874,"2019-06-06T10:45:00.000-05:00","80","rudbeckia hirta	black-eyed susan",NA,3,0,0,1,0,0,0,0,0,0,0,0,1,0,2,"no feedback","texas","ellis","Compositae","Rudbeckia","hirta","susan","Accepted"
"2019-06-06T11:39:29.890-05:00","2019-06-06T11:47:36.638-05:00","enketo.ona.io:1pFf6gsvOTQqzIDe",NA,"no",32.311593,-97.015874,"2019-06-06T10:45:00.000-05:00","80","echinacea	coneflower",NA,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,"no feedback","texas","ellis","","echinacea","coneflower","",""
"2019-06-06T11:47:36.923-05:00","2019-06-06T11:48:54.382-05:00","enketo.ona.io:1pFf6gsvOTQqzIDe",NA,"no",32.311593,-97.015874,"2019-06-06T10:45:00.000-05:00","80","vitex",NA,3,0,0,0,0,1,0,0,0,2,0,0,0,0,2,"no feedback.","texas","ellis","","vitex",NA,"",""
