"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"1","saliva horrida","saliva","","horrida",NA,NA,"","","",FALSE,"1.1","","","saliva","","horrida",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"2","salvia longispicata x farinacea","salvia","×","longispicata",NA,NA,"farinacea","","kew-183079",FALSE,"1.1","Accepted","Lamiaceae","Salvia","","longispicata","","","M.Martens & Galeotti","kew-183079","Accepted",FALSE,FALSE,TRUE,2019-08-12
"3","verbena peruviana","verbena","","peruviana",NA,NA,"","","kew-212573",TRUE,"1.1","Synonym","Verbenaceae","Glandularia","","peruviana","","","(L.) Small","kew-89973","Accepted",FALSE,FALSE,FALSE,2019-08-12
"4","epipremnum aureum","epipremnum","","aureum",NA,NA,"","","kew-70476",TRUE,"1.1","Accepted","Araceae","Epipremnum","","aureum","","","(Linden & André) G.S.Bunting","kew-70476","Accepted",FALSE,FALSE,FALSE,2019-08-12
"5","salvia longispicata x farinacea","salvia","×","longispicata",NA,NA,"farinacea","","kew-183079",FALSE,"1.1","Accepted","Lamiaceae","Salvia","","longispicata","","","M.Martens & Galeotti","kew-183079","Accepted",FALSE,FALSE,TRUE,2019-08-12
"6","canna x generalis","canna","×","generalis",NA,NA,"","","tro-5800001",TRUE,"1.1","Accepted","Cannaceae","Canna","×","generalis","","","L.H. Bailey & E.Z. Bailey","tro-5800001","Accepted",FALSE,FALSE,FALSE,2019-08-12
"7","clover and tomatoes","clover","","and",NA,NA,"tomatoes","","",FALSE,"1.1","","","clover","","and",NA,"tomatoes","","","",FALSE,FALSE,FALSE,2019-08-12
"8","lavendula agustifolia","lavendula","","agustifolia",NA,NA,"","","",FALSE,"1.1","","","lavendula","","agustifolia",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"9","allium","allium","",NA,NA,NA,"","","",FALSE,"1.1","","","allium","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"10","monarda didyma","monarda","","didyma",NA,NA,"","","kew-129178",TRUE,"1.1","Accepted","Lamiaceae","Monarda","","didyma","","","L.","kew-129178","Accepted",FALSE,FALSE,FALSE,2019-08-12
"11","unknown","unknown","",NA,NA,NA,"","","",FALSE,"1.1","","","unknown","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"12","unknown","unknown","",NA,NA,NA,"","","",FALSE,"1.1","","","unknown","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"13","unknown","unknown","",NA,NA,NA,"","","",FALSE,"1.1","","","unknown","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"14","unknown","unknown","",NA,NA,NA,"","","",FALSE,"1.1","","","unknown","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"15","unknown","unknown","",NA,NA,NA,"","","",FALSE,"1.1","","","unknown","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"16","unknown","unknown","",NA,NA,NA,"","","",FALSE,"1.1","","","unknown","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"17","unknown","unknown","",NA,NA,NA,"","","",FALSE,"1.1","","","unknown","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"18","unknown","unknown","",NA,NA,NA,"","","",FALSE,"1.1","","","unknown","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"19","unknown","unknown","",NA,NA,NA,"","","",FALSE,"1.1","","","unknown","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"20","unknown","unknown","",NA,NA,NA,"","","",FALSE,"1.1","","","unknown","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"21","saliva yuckii","saliva","","yuckii",NA,NA,"","","",FALSE,"1.1","","","saliva","","yuckii",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"22","saliva yuckii","saliva","","yuckii",NA,NA,"","","",FALSE,"1.1","","","saliva","","yuckii",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"23","saliva yuckii","saliva","","yuckii",NA,NA,"","","",FALSE,"1.1","","","saliva","","yuckii",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"24","abelia grandiflora","abelia","","grandiflora",NA,NA,"","","kew-2609470",TRUE,"1.1","Unresolved","Caprifoliaceae","Abelia","×","grandiflora","","","(Ravelli ex André) Rehder","kew-2609470","Unresolved",FALSE,FALSE,FALSE,2019-08-12
"25","allium ampeloprasum","allium","","ampeloprasum",NA,NA,"","","kew-294972",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","ampeloprasum","","","L.","kew-294972","Accepted",FALSE,FALSE,FALSE,2019-08-12
"26","no sure","no","","sure",NA,NA,"","","",FALSE,"1.1","","","no","","sure",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"27","monarda citriodora	bee balm","monarda","","citriodora",NA,NA,"bee","balm","kew-129163",FALSE,"1.1","Accepted","Lamiaceae","Monarda","","citriodora","","","Cerv. ex Lag.","kew-129163","Accepted",FALSE,FALSE,TRUE,2019-08-12
"28","melilotus albus 	white sweet clover","melilotus","","albus",NA,NA,"white","sweet clover","ild-7888",FALSE,"1.1","Accepted","Leguminosae","Melilotus","","albus","","","Medik.","ild-7888","Accepted",FALSE,FALSE,TRUE,2019-08-12
"29","rudbeckia hirta	black-eyed susan","rudbeckia","","hirta",NA,NA,"black-eyed","susan","gcc-126702",FALSE,"1.1","Accepted","Compositae","Rudbeckia","","hirta","","","L.","gcc-126702","Accepted",FALSE,FALSE,TRUE,2019-08-12
"30","echinacea	coneflower","echinacea","","coneflower",NA,NA,"","","",FALSE,"1.1","","","echinacea","","coneflower",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"31","vitex","vitex","",NA,NA,NA,"","","",FALSE,"1.1","","","vitex","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"32","teucrium canadense	american germander","teucrium","","canadense",NA,NA,"american","germander","kew-202732",FALSE,"1.1","Accepted","Lamiaceae","Teucrium","","canadense","","","L.","kew-202732","Accepted",FALSE,FALSE,TRUE,2019-08-12
"33","gaillardia pulchella	indian blanket","gaillardia","","pulchella",NA,NA,"indian","blanket","gcc-120122",FALSE,"1.1","Accepted","Compositae","Gaillardia","","pulchella","","","Foug.","gcc-120122","Accepted",FALSE,FALSE,TRUE,2019-08-12
"34","hibiscus syriacus rose of sharon","hibiscus","","syriacus",NA,NA,"rose","of sharon","kew-2850597",FALSE,"1.1","Accepted","Malvaceae","Hibiscus","","syriacus","","","L.","kew-2850597","Accepted",FALSE,FALSE,TRUE,2019-08-12
"35","zinnia elegans","zinnia","","elegans",NA,NA,"","","gcc-157211",TRUE,"1.1","Accepted","Compositae","Zinnia","","elegans","","","L.","gcc-157211","Accepted",FALSE,FALSE,FALSE,2019-08-12
"36","coreopsis","coreopsis","",NA,NA,NA,"","","",FALSE,"1.1","","","coreopsis","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"37","anethum graveolens","anethum","","graveolens",NA,NA,"","","kew-2638934",TRUE,"1.1","Accepted","Apiaceae","Anethum","","graveolens","","","L.","kew-2638934","Accepted",FALSE,FALSE,FALSE,2019-08-12
"38","buddleia hybrid","buddleia","","hybrid",NA,NA,"","","",FALSE,"1.1","","","buddleia","","hybrid",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"39","achillea millefolium","achillea","","millefolium",NA,NA,"","","gcc-140712",TRUE,"1.1","Accepted","Compositae","Achillea","","millefolium","","","L.","gcc-140712","Accepted",FALSE,FALSE,FALSE,2019-08-12
"40","coreopsis","coreopsis","",NA,NA,NA,"","","",FALSE,"1.1","","","coreopsis","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"41","hamellia patens","hamellia","","patens",NA,NA,"","","",FALSE,"1.1","","","hamellia","","patens",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"42","malavavicus arboreus","malavavicus","","arboreus",NA,NA,"","","",FALSE,"1.1","","","malavavicus","","arboreus",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"43","blue mist","blue","","mist",NA,NA,"","","",FALSE,"1.1","","","blue","","mist",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"44","salvia sylvestris may nighti","salvia","","sylvestris",NA,NA,"may","nighti","kew-183960",FALSE,"1.1","Synonym","Lamiaceae","Salvia","","arrabidae","","","Steud.","kew-182023","Unresolved",FALSE,FALSE,TRUE,2019-08-12
"45","coreopsis","coreopsis","",NA,NA,NA,"","","",FALSE,"1.1","","","coreopsis","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"46","salvia sylvestris may night","salvia","","sylvestris",NA,NA,"may","night","kew-183960",FALSE,"1.1","Synonym","Lamiaceae","Salvia","","arrabidae","","","Steud.","kew-182023","Unresolved",FALSE,FALSE,TRUE,2019-08-12
"47","achillea millefolium","achillea","","millefolium",NA,NA,"","","gcc-140712",TRUE,"1.1","Accepted","Compositae","Achillea","","millefolium","","","L.","gcc-140712","Accepted",FALSE,FALSE,FALSE,2019-08-12
"48","okra","okra","",NA,NA,NA,"","","",FALSE,"1.1","","","okra","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"49","parsley","parsley","",NA,NA,NA,"","","",FALSE,"1.1","","","parsley","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"50","vitex angus-castus","vitex","","angus-castus",NA,NA,"","","",FALSE,"1.1","","","vitex","","angus-castus",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"51","dracopis amplexicaulis","dracopis","","amplexicaulis",NA,NA,"","","gcc-108953",TRUE,"1.1","Synonym","Compositae","Rudbeckia","","amplexicaulis","","","Vahl","gcc-28944","Unresolved",FALSE,FALSE,FALSE,2019-08-12
"52","asclepius virdis","asclepius","","virdis",NA,NA,"","","",FALSE,"1.1","","","asclepius","","virdis",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"53","pentas lanceolata","pentas","","lanceolata",NA,NA,"","","kew-149975",TRUE,"1.1","Accepted","Rubiaceae","Pentas","","lanceolata","","","(Forssk.) Deflers","kew-149975","Accepted",FALSE,FALSE,FALSE,2019-08-12
"54","conoclinium greggii","conoclinium","","greggii",NA,NA,"","","gcc-114425",TRUE,"1.1","Accepted","Compositae","Conoclinium","","greggii","","","(A.Gray) Small","gcc-114425","Accepted",FALSE,FALSE,FALSE,2019-08-12
"55","allium hollandicum","allium","","hollandicum",NA,NA,"","","kew-295720",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","hollandicum","","","R.M.Fritsch","kew-295720","Accepted",FALSE,FALSE,FALSE,2019-08-12
"56","eryngium maritimum","eryngium","","maritimum",NA,NA,"","","kew-2799418",TRUE,"1.1","Accepted","Apiaceae","Eryngium","","maritimum","","","L.","kew-2799418","Accepted",FALSE,FALSE,FALSE,2019-08-12
"57","stachys byzantina","stachys","","byzantina",NA,NA,"","","kew-194896",TRUE,"1.1","Accepted","Lamiaceae","Stachys","","byzantina","","","K.Koch","kew-194896","Accepted",FALSE,FALSE,FALSE,2019-08-12
"58","eryngium","eryngium","",NA,NA,NA,"","","",FALSE,"1.1","","","eryngium","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"59","vitex","vitex","",NA,NA,NA,"","","",FALSE,"1.1","","","vitex","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"60","monarda citriodora","monarda","","citriodora",NA,NA,"","","kew-129163",TRUE,"1.1","Accepted","Lamiaceae","Monarda","","citriodora","","","Cerv. ex Lag.","kew-129163","Accepted",FALSE,FALSE,FALSE,2019-08-12
"61","gaillardia pulchella","gaillardia","","pulchella",NA,NA,"","","gcc-120122",TRUE,"1.1","Accepted","Compositae","Gaillardia","","pulchella","","","Foug.","gcc-120122","Accepted",FALSE,FALSE,FALSE,2019-08-12
"62","rudbeckia hirta","rudbeckia","","hirta",NA,NA,"","","gcc-126702",TRUE,"1.1","Accepted","Compositae","Rudbeckia","","hirta","","","L.","gcc-126702","Accepted",FALSE,FALSE,FALSE,2019-08-12
"63","cephalanthus occidentalis","cephalanthus","","occidentalis",NA,NA,"","","kew-36721",TRUE,"1.1","Accepted","Rubiaceae","Cephalanthus","","occidentalis","","","L.","kew-36721","Accepted",FALSE,FALSE,FALSE,2019-08-12
"64","vitex","vitex","",NA,NA,NA,"","","",FALSE,"1.1","","","vitex","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"65","echinacea","echinacea","",NA,NA,NA,"","","",FALSE,"1.1","","","echinacea","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"66","teucrium canadense","teucrium","","canadense",NA,NA,"","","kew-202732",TRUE,"1.1","Accepted","Lamiaceae","Teucrium","","canadense","","","L.","kew-202732","Accepted",FALSE,FALSE,FALSE,2019-08-12
"67","hibiscus syriacus","hibiscus","","syriacus",NA,NA,"","","kew-2850597",TRUE,"1.1","Accepted","Malvaceae","Hibiscus","","syriacus","","","L.","kew-2850597","Accepted",FALSE,FALSE,FALSE,2019-08-12
"68","monarda cotriodora","monarda","","cotriodora",NA,NA,"","","kew-129163",TRUE,"1.1","Accepted","Lamiaceae","Monarda","","citriodora","","","Cerv. ex Lag.","kew-129163","Accepted",TRUE,FALSE,FALSE,2019-08-12
"69","gaillardia pulchella","gaillardia","","pulchella",NA,NA,"","","gcc-120122",TRUE,"1.1","Accepted","Compositae","Gaillardia","","pulchella","","","Foug.","gcc-120122","Accepted",FALSE,FALSE,FALSE,2019-08-12
"70","ratibida columnifera","ratibida","","columnifera",NA,NA,"","","gcc-40309",TRUE,"1.1","Accepted","Compositae","Ratibida","","columnifera","","","(Nutt.) Wooton & Standl.","gcc-40309","Accepted",FALSE,FALSE,FALSE,2019-08-12
"71","salvia guaranitica","salvia","","guaranitica",NA,NA,"","","kew-182769",TRUE,"1.1","Synonym","Lamiaceae","Salvia","","coerulea","","","Benth.","kew-182389","Accepted",FALSE,FALSE,FALSE,2019-08-12
"72","salvia sylvestris 'may night'","salvia","","sylvestris",NA,NA,"night'","'may","kew-183960",FALSE,"1.1","Synonym","Lamiaceae","Salvia","","arrabidae","","","Steud.","kew-182023","Unresolved",FALSE,FALSE,TRUE,2019-08-12
"73","okra","okra","",NA,NA,NA,"","","",FALSE,"1.1","","","okra","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"74","black eyed peas","black","","eyed",NA,NA,"peas","","",FALSE,"1.1","","","black","","eyed",NA,"peas","","","",FALSE,FALSE,FALSE,2019-08-12
"75","okra","okra","",NA,NA,NA,"","","",FALSE,"1.1","","","okra","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"76","hamelia patens","hamelia","","patens",NA,NA,"","","kew-96031",TRUE,"1.1","Accepted","Rubiaceae","Hamelia","","patens","","","Jacq.","kew-96031","Accepted",FALSE,FALSE,FALSE,2019-08-12
"77","malvaviscus arboreus","malvaviscus","","arboreus",NA,NA,"","","kew-2503923",TRUE,"1.1","Accepted","Malvaceae","Malvaviscus","","arboreus","","","Cav.","kew-2503923","Accepted",FALSE,FALSE,FALSE,2019-08-12
"78","tecoma stans","tecoma","","stans",NA,NA,"","","kew-318412",TRUE,"1.1","Accepted","Bignoniaceae","Tecoma","","stans","","","(L.) Juss. ex Kunth","kew-318412","Accepted",FALSE,FALSE,FALSE,2019-08-12
"79","celosia spicata","celosia","","spicata",NA,NA,"","","kew-2707951",TRUE,"1.1","Accepted","Amaranthaceae","Celosia","","spicata","","","Spreng.","kew-2707951","Accepted",FALSE,FALSE,FALSE,2019-08-12
"80","achillea","achillea","",NA,NA,NA,"","","",FALSE,"1.1","","","achillea","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"81","cestrum","cestrum","",NA,NA,NA,"","","",FALSE,"1.1","","","cestrum","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"82","salvia","salvia","",NA,NA,NA,"","","",FALSE,"1.1","","","salvia","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"83","echinacea","echinacea","",NA,NA,NA,"","","",FALSE,"1.1","","","echinacea","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
